127.0.0.1, 2014-03-04 21:19:32, POST, /admin/wizard/step5/0, HTTP/1.1, 303, 0.015276
127.0.0.1, 2014-03-04 21:19:32, GET, /admin/wizard/step5/1, HTTP/1.1, 200, 0.075403
127.0.0.1, 2014-03-04 21:19:34, POST, /admin/wizard/step5/1, HTTP/1.1, 303, 0.018926
127.0.0.1, 2014-03-04 21:19:34, GET, /admin/wizard/step6, HTTP/1.1, 200, 0.023426
127.0.0.1, 2014-03-04 21:19:36, POST, /admin/wizard/step6, HTTP/1.1, 303, 0.228044
127.0.0.1, 2014-03-04 21:19:37, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.023680
127.0.0.1, 2014-03-04 21:19:37, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.001208
127.0.0.1, 2014-03-04 21:19:37, GET, /facil/default/index, HTTP/1.1, 500, 0.365981
127.0.0.1, 2014-03-04 21:19:41, GET, /admin/default/ticket/facil/127.0.0.1.2014-03-04.21-19-37.e2a49df4-9695-4cd8-8c1b-3d057cd41b23, HTTP/1.1, 200, 0.074034
127.0.0.1, 2014-03-04 21:19:41, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2014-03-04 21:20:08, GET, /admin/default/site, HTTP/1.1, 200, 0.035315
127.0.0.1, 2014-03-04 21:20:09, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.613659
127.0.0.1, 2014-03-04 21:20:13, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.067276
127.0.0.1, 2014-03-04 21:20:18, GET, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.057038
127.0.0.1, 2014-03-04 21:20:18, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000820
127.0.0.1, 2014-03-04 21:20:18, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000635
127.0.0.1, 2014-03-04 21:20:18, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001447
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.001359
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000950
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000784
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000443
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000287
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000267
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000404
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000335
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000315
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000271
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000262
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000234
